Name,Type,Diet,Era,Image
Struthiosaurus,Armored Dinosaur,Herbivore,Late Cretaceous,
Styracosaurus,Ceratopsian,Herbivore,Late Cretaceous,
Suchomimus,Large Theropod,Carnivore,Early Cretaceous,
Supersaurus,Sauropod,Herbivore,Early Cretaceous,
Talarurus,Armored Dinosaur,Herbivore,Late Cretaceous,
Tanius,Euornithopod,Herbivore,Late Cretaceous,
Tarbosaurus,Large Theropod,Carnivore,Late Cretaceous,
Tarchia,Armored Dinosaur,Herbivore,Late Cretaceous,
Telmatosaurus,Euornithopod,Herbivore,Late Cretaceous,
Tenontosaurus,Euornithopod,Herbivore,Early Cretaceous,
Thecodontosaurus,Sauropod,Omnivore,Late Triassic,
Therizinosaurus,Large Theropod,Unknown,Late Cretaceous,
Thescelosaurus,Euornithopod,Herbivore,Late Cretaceous,
Torosaurus,Ceratopsian,Herbivore,Late Cretaceous,
Torvosaurus,Large Theropod,Carnivore,Late Jurassic,
Triceratops,Ceratopsian,Herbivore,Late Cretaceous,
Troodon,Small Theropod,Carnivore,Late Cretaceous,
Tsagantegia,Armored Dinosaur,Herbivore,Late Cretaceous,
Tsintaosaurus,Euornithopod,Herbivore,Late Cretaceous,
Tuojiangosaurus,Armored Dinosaur,Herbivore,Late Jurassic,
Tylocephale,Euornithopod,Herbivore,Late Cretaceous,
Tyrannosaurus,Large Theropod,Carnivore,Late Cretaceous,
Udanoceratops,Ceratopsian,Herbivore,Late Cretaceous,
Unenlagia,Small Theropod,Carnivore,Late Cretaceous,
Urbacodon,Small Theropod,Carnivore,Late Cretaceous,
Utahraptor,Large Theropod,Carnivore,Early Cretaceous,
Valdosaurus,Euornithopod,Herbivore,Early Cretaceous,
Velociraptor,Small Theropod,Carnivore,Late Cretaceous,
Vulcanodon,Sauropod,Herbivore,Early Jurassic,
Yandusaurus,Euornithopod,Herbivore,Mid Jurassic,
Yangchuanosaurus,Large Theropod,Carnivore,Late Jurassic,
Yimenosaurus,Sauropod,Herbivore,Early Jurassic,
Yingshanosaurus,Armored Dinosaur,Herbivore,Late Jurassic,
Yinlong,Ceratopsian,Herbivore,Mid Jurassic,
Yuanmousaurus,Sauropod,Herbivore,Mid Jurassic,
Yunnanosaurus,Sauropod,Omnivore,Early Jurassic,
Zalmoxes,Euornithopod,Herbivore,Late Cretaceous,
Zephyrosaurus,Euornithopod,Herbivore,Early Cretaceous,
Zuniceratops,Ceratopsian,Herbivore,Late Cretaceous,
